
#<subty>  <from>            <to>      <type> m    <otypes>
#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   722 1    gps
0    19000101 000000   29991231 240000   723 1    gps
0    19000101 000000   29991231 240000   740 1    gps
0    19000101 000000   29991231 240000   741 1    gps
0    19000101 000000   29991231 240000   742 1    gps
0    19000101 000000   29991231 240000   743 1    gps
0    19000101 000000   29991231 240000   744 1    gps
0    19000101 000000   29991231 240000   745 1    gps

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   786 1    gps

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   820 1    gps
0    19000101 000000   29991231 240000   821 1    gps

#<subty>  <from>            <to>      <type> m    <otypes>
0    19000101 000000   29991231 240000   999 3    dw rw srw
