! For mls data, pressure and obs errors are pulled from bufr, so not listed here
! sens/instr/sat lev  use pressure gross   obs    b_oz  pg_oz
!                                  error  error variational qc
 sbuv8_n14        8   -1    2.510  1.282  1.000 10.000  0.000
 sbuv8_n14        9   -1    3.980  2.051  1.021 10.000  0.000
 sbuv8_n14       10   -1    6.310  2.641  1.265 10.000  0.000
 sbuv8_n14       11   -1   10.000  3.590  1.358 10.000  0.000
 sbuv8_n14       12   -1   15.800  5.052  1.225 10.000  0.000
 sbuv8_n14       13   -1   25.100  6.273  1.225 10.000  0.000
 sbuv8_n14       14   -1   39.800  7.000  1.423 10.000  0.000
 sbuv8_n14       15   -1   63.100  6.940  1.871 10.000  0.000
 sbuv8_n14       16   -1  100.000  5.752  1.871 10.000  0.000
 sbuv8_n14       17   -1  158.000  4.422  1.831 10.000  0.000
 sbuv8_n14       18   -1  251.000  3.000  1.730 10.000  0.000
 sbuv8_n14       19   -1  398.000  3.000  1.667 10.000  0.000
 sbuv8_n14       20   -1  631.000  3.000  1.567 10.000  0.000
 sbuv8_n14       21   -1 1000.000  3.000  1.408 10.000  0.000
 sbuv8_n14       22   -1    0.000 12.000  6.000 10.000  0.000
 sbuv8_n16        1   -1    0.100  0.042  1.000 10.000  0.000
 sbuv8_n16        2   -1    0.158  0.006  1.000 10.000  0.000
 sbuv8_n16        3   -1    0.251  0.010  1.000 10.000  0.000
 sbuv8_n16        4   -1    0.398  0.020  1.000 10.000  0.000
 sbuv8_n16        5   -1    0.631  0.033  1.000 10.000  0.000
 sbuv8_n16        6   -1    1.000  0.059  1.000 10.000  0.000
 sbuv8_n16        7   -1    1.580  0.095  1.000 10.000  0.000
 sbuv8_n16        8   -1    2.510  0.152  1.000 10.000  0.000
 sbuv8_n16        9   -1    3.980  0.204  1.021 10.000  0.000
 sbuv8_n16       10   -1    6.310  0.334  1.265 10.000  0.000
 sbuv8_n16       11   -1   10.000  0.409  1.358 10.000  0.000
 sbuv8_n16       12   -1   15.800  0.647  1.225 10.000  0.000
 sbuv8_n16       13   -1   25.100  0.936  1.225 10.000  0.000
 sbuv8_n16       14   -1   39.800  1.303  1.423 10.000  0.000
 sbuv8_n16       15   -1   63.100  1.814  1.871 10.000  0.000
 sbuv8_n16       16   -1  100.000  1.941  1.871 10.000  0.000
 sbuv8_n16       17   -1  158.000  1.989  1.831 10.000  0.000
 sbuv8_n16       18   -1  251.000  2.521  1.730 10.000  0.000
 sbuv8_n16       19   -1  398.000  1.665  1.667 10.000  0.000
 sbuv8_n16       20   -1  631.000  1.183  1.567 10.000  0.000
 sbuv8_n16       21   -1 1000.000  0.788  1.408 10.000  0.000
 sbuv8_n16       22   -1    0.000 12.000  6.000 10.000  0.000
 sbuv8_n17        1   -1    0.100  0.039  1.000 10.000  0.000
 sbuv8_n17        2   -1    0.158  0.006  1.000 10.000  0.000
 sbuv8_n17        3   -1    0.251  0.010  1.000 10.000  0.000
 sbuv8_n17        4   -1    0.398  0.021  1.000 10.000  0.000
 sbuv8_n17        5   -1    0.631  0.038  1.000 10.000  0.000
 sbuv8_n17        6    1    1.000  0.066  1.000 10.000  0.000
 sbuv8_n17        7    1    1.580  0.109  1.000 10.000  0.000
 sbuv8_n17        8    1    2.510  0.183  1.000 10.000  0.000
 sbuv8_n17        9    1    3.980  0.233  1.021 10.000  0.000
 sbuv8_n17       10    1    6.310  0.283  1.265 10.000  0.000
 sbuv8_n17       11    1   10.000  0.437  1.358 10.000  0.000
 sbuv8_n17       12    1   15.800  0.626  1.225 10.000  0.000
 sbuv8_n17       13    1   25.100  0.907  1.225 10.000  0.000
 sbuv8_n17       14    1   39.800  1.423  1.423 10.000  0.000
 sbuv8_n17       15    1   63.100  1.876  1.871 10.000  0.000
 sbuv8_n17       16    1  100.000  1.970  1.871 10.000  0.000
 sbuv8_n17       17    1  158.000  2.091  1.831 10.000  0.000
 sbuv8_n17       18    1  251.000  2.577  1.730 10.000  0.000
