! For mls data, pressure and obs errors are pulled from bufr, so not listed here
! sens/instr/sat lev  use pressure gross   obs    b_oz  pg_oz
!                                  error  error variational qc
 o3lev_aura       8    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura       9    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      10    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      11    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      12    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      13    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      14    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      15    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      16    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      17    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      18    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      19    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      20    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      21    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      22    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      23    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      24    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      25    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      26    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      27    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      28    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      29    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      30    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      31    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      32    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      33    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      34    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      35    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      36    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      37    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      38    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      39    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      40    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      41    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      42    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      43    1  999.999  9.999  9.999 10.000  0.000
 o3lev_aura      44    1  999.999  9.999  9.999 10.000  0.000
 mls55_aura       1   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura       2   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura       3   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura       4   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura       5   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura       6   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura       7   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura       8   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura       9   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      10   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      11   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      12   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      13   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      14   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      15   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      16   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      17   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      18   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      19   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      20   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      21   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      22   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      23   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      24   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      25   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      26   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      27   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      28   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      29   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      30   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      31   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      32   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      33   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      34   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      35   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      36   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      37   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      38   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      39   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      40   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      41   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      42   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      43   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      44   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      45   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      46   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      47   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      48   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      49   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      50   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      51   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      52   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      53   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      54   -1  999.999  5.0    9.999 10.000  0.000
 mls55_aura      55   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     1   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     2   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     3   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     4   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     5   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     6   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     7   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     8   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp     9   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    10   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    11   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    12   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    13   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    14   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    15   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    16   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    17   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    18   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    19   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    20   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    21   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    22   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    23   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    24   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    25   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    26   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    27   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    28   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    29   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    30   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    31   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    32   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    33   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    34   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    35   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    36   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    37   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    38   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    39   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    40   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    41   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    42   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    43   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    44   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    45   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    46   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    47   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    48   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    49   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    50   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    51   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    52   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    53   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    54   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    55   -1  999.999  5.0    9.999 10.000  0.000
 ompslpuv_npp    56   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    1   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    2   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    3   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    4   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    5   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    6   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    7   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    8   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp    9   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   10   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   11   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   12   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   13   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   14   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   15   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   16   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   17   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   18   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   19   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   20   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   21   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   22   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   23   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   24   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   25   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   26   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   27   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   28   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   29   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   30   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   31   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   32   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   33   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   34   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   35   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   36   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   37   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   38   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   39   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   40   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   41   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   42   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   43   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   44   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   45   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   46   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   47   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   48   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   49   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   50   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   51   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   52   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   53   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   54   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   55   -1  999.999  5.0    9.999 10.000  0.000
 ompslpvis_npp   56   -1  999.999  5.0    9.999 10.000  0.000
